电影名字,电影年份,电影时长,数据和
奇幻变身大冒险,2026,102,2128
肖申克的救赎,1994,142,2136
教父,1972,175,2147
挽救计划,2026,157,2183
教父2,1974,200,2174
辛德勒的名单,1993,195,2188
幸运有八只触手,2026,114,2140
十二怒汉,1957,96,2053
千与千寻,2001,125,2126
蝙蝠侠：黑暗骑士,2008,152,2160
Selena Gomez: My Mind & Me,2022,95,2117
勇夺芳心,1995,190,2185
绿里奇迹,1999,189,2188
指环王3：王者无敌,2003,263,2266
寄生虫,2019,132,2151
要不要做我儿子？,2023,140,2163
低俗小说,1994,154,2148
你的名字。,2016,106,2122
星际穿越,2014,169,2183
黄金三镖客,1966,161,2127
阿甘正传,1994,142,2136
好家伙,1990,145,2135
七武士,1954,207,2161
萤火虫之墓,1988,89,2077
美丽人生,1997,116,2113
大卫·爱登堡：地球上的一段生命旅程,2020,83,2103
切腹,1962,135,2097
搏击俱乐部,1999,139,2138
人类,2015,191,2206
指环王1：护戒使者,2001,228,2229
上帝之城,2002,129,2131
天堂电影院,1988,124,2112
指环王2：双塔奇兵,2002,235,2237
惊魂记,1960,109,2069
飞越疯人院,1975,133,2108
蛊惑兄弟,2000,104,2104
素媛,2013,122,2135
妙不可言,2021,88,2109
蜘蛛侠：平行宇宙,2018,116,2134
星球大战5：帝国反击战,1980,124,2104
声之形,2016,130,2146
哈尔的移动城堡,2004,119,2123
露西·希姆斯和和平王子,2020,87,2107
加百列的地狱,2020,122,2142
美国往事,1984,229,2213
七宗罪,1995,127,2122
爆裂鼓手,2014,107,2121
钢琴家,2002,150,2152
电锯人剧场版：蕾塞篇,2025,100,2125
盗梦空间,2010,148,2158
鱿鱼游戏： 第二季 制作特辑,2025,0,2025
天国与地狱,1963,142,2105
惩罚者：最后一击,2026,0,2026
迈克尔·杰克逊：巨星之路,2026,136,2162
加百列的地狱：第二部,2020,106,2126
沉默的羔羊,1991,119,2110
加百列的地狱：第三部,2020,122,2142
后窗,1954,112,2066
蜘蛛侠：纵横宇宙,2023,140,2163
美国X档案,1998,119,2117
激进教学,2023,122,2145
回到未来,1985,116,2101
防弹少年团：燃烧舞台电影版,2018,85,2103
幽灵公主,1997,134,2131
荒野机器人,2024,102,2126
音魂掠影,2022,156,2178
别假正经,1984,88,2072
未麻的部屋,1998,82,2080
生之欲,1952,143,2095
死亡诗社,1989,128,2117
罗小黑战记,2019,102,2121
这个杀手不太冷,1994,133,2127
紫罗兰永恒花园 剧场版,2020,140,2160
五等分的新娘 剧场版,2022,136,2158
献给我的前妻,2019,94,2113
我们如此相爱,1974,124,2098
生活多美好,1946,131,2077
带来灵魂：防弹少年团演唱会电影,2019,103,2122
大独裁者,1940,125,2065
同级生,2016,61,2077
摩登时代,1936,87,2023
日落大道,1950,110,2060
西部往事,1968,166,2134
触不可及,2011,112,2123
现代启示录,1979,202,2181
妥瑞氏与我,2025,121,2146
乔西的虎与鱼,2020,98,2118
从前有个工作室,2023,0,2023
从天而降,2019,112,2131
夜与雾,1956,0,1956
萤火之森,2011,0,2011
洞,1960,132,2092
新世纪福音战士剧场版：Air / 真心为你,1997,87,2084
光荣之路,1957,87,2044
狮子王,1994,89,2083
迈克尔·杰克逊：颤栗,1983,0,1983
城市之光,1931,87,2018
七号房的礼物,2019,132,2151
牯岭街少年杀人事件,1991,237,2228
黑客帝国,1999,136,2135
